transaction_id,timestamp,amount,status,category,device_type,region,payment_method,user_id
TXN0000001,2023-01-01 00:22:04,734.73,Success,Utilities,Mobile,East,UPI,USR09524
TXN0000002,2023-01-01 00:25:28,58857.69,Success,Healthcare,Tablet,West,Net Banking,USR05508
TXN0000003,2023-01-01 00:49:40,5897.23,Failed,Retail,Desktop,Central,Credit Card,USR06586
TXN0000004,2023-01-01 01:27:12,760.69,Success,Healthcare,Mobile,North,UPI,USR05869
TXN0000005,2023-01-01 02:07:58,4378.75,Success,Electronics,Mobile,South,UPI,USR02361
TXN0000006,2023-01-01 02:29:31,263.45,Failed,Electronics,Mobile,West,Credit Card,USR01257
TXN0000007,2023-01-01 03:04:21,1232.8,Success,Retail,Mobile,East,UPI,USR02400
TXN0000008,2023-01-01 03:15:38,661.5,Success,Utilities,Mobile,West,Debit Card,USR02487
TXN0000009,2023-01-01 03:42:28,2987.51,Success,Retail,Tablet,West,Credit Card,USR01666
TXN0000010,2023-01-01 05:04:16,13201.16,Success,Food & Dining,Desktop,West,UPI,USR05981
TXN0000011,2023-01-01 05:15:33,236.79,Success,Travel,Desktop,West,Credit Card,USR07586
TXN0000012,2023-01-01 05:56:21,16790.04,Failed,Electronics,Mobile,West,Debit Card,USR09303
TXN0000013,2023-01-01 06:02:09,4445.11,Success,Electronics,Mobile,West,UPI,USR06878
TXN0000014,2023-01-01 06:12:56,545.08,Success,Entertainment,Mobile,South,Debit Card,USR07883
TXN0000015,2023-01-01 06:19:18,557.68,Success,Healthcare,Mobile,North,UPI,USR07316
TXN0000016,2023-01-01 06:19:28,766.97,Success,Travel,Mobile,North,Wallet,USR08862
TXN0000017,2023-01-01 06:58:00,639.28,Failed,Retail,Desktop,West,Debit Card,USR08175
TXN0000018,2023-01-01 07:19:34,663.78,Success,Utilities,Tablet,East,Debit Card,USR06909
TXN0000019,2023-01-01 07:29:27,205.0,Success,Food & Dining,Mobile,West,Credit Card,USR07934
TXN0000020,2023-01-01 07:44:38,1430.43,Success,Entertainment,Mobile,East,Debit Card,USR01719
TXN0000021,2023-01-01 07:51:08,4429.18,Success,Utilities,Desktop,South,Credit Card,USR06031
TXN0000022,2023-01-01 08:17:39,907.77,Success,Food & Dining,Mobile,Central,Credit Card,USR05920
TXN0000023,2023-01-01 08:19:16,2583.32,Success,Healthcare,Mobile,West,Debit Card,USR03141
TXN0000024,2023-01-01 08:23:44,6976.75,Success,Entertainment,Desktop,West,Net Banking,USR05072
TXN0000025,2023-01-01 08:34:21,300.61,Success,Entertainment,Mobile,South,Net Banking,USR09399
TXN0000026,2023-01-01 08:39:33,811.48,Success,Food & Dining,Desktop,East,Credit Card,USR07616
TXN0000027,2023-01-01 08:52:06,296.84,Success,Food & Dining,Desktop,East,Net Banking,USR02838
TXN0000028,2023-01-01 08:53:26,336.37,Success,Food & Dining,Desktop,East,Credit Card,USR03933
TXN0000029,2023-01-01 08:56:51,9261.67,Success,Electronics,Mobile,West,Credit Card,USR08279
TXN0000030,2023-01-01 09:04:06,987.06,Success,Utilities,Mobile,East,Credit Card,USR03477
TXN0000031,2023-01-01 09:08:41,3150.86,Success,Food & Dining,Mobile,West,Credit Card,USR08946
TXN0000032,2023-01-01 09:09:53,2204.97,Failed,Retail,Mobile,South,Debit Card,USR00769
TXN0000033,2023-01-01 09:11:33,4230.1,Success,Entertainment,Desktop,South,Net Banking,USR03391
TXN0000034,2023-01-01 09:15:44,2158.49,Success,Electronics,Desktop,West,Debit Card,USR09471
TXN0000035,2023-01-01 09:21:39,2055.28,Success,Electronics,Mobile,South,Net Banking,USR03244
TXN0000036,2023-01-01 09:40:12,305.11,Success,Electronics,Mobile,West,Debit Card,USR08184
TXN0000037,2023-01-01 09:43:03,1885.58,Success,Electronics,Mobile,Central,Debit Card,USR08700
TXN0000038,2023-01-01 09:43:05,1860.14,Success,Retail,Mobile,North,UPI,USR05748
TXN0000039,2023-01-01 09:43:26,583.95,Success,Electronics,Desktop,South,UPI,USR05575
TXN0000040,2023-01-01 09:55:48,151.05,Success,Retail,Desktop,South,UPI,USR08233
TXN0000041,2023-01-01 09:56:25,2425.6,Success,Retail,Tablet,Central,Credit Card,USR07758
TXN0000042,2023-01-01 10:02:01,7856.71,Success,Retail,Tablet,South,Credit Card,USR02540
TXN0000043,2023-01-01 10:03:35,216.28,Failed,Entertainment,Desktop,North,Net Banking,USR07770
TXN0000044,2023-01-01 10:08:28,1477.34,Success,Healthcare,Desktop,South,Wallet,USR04296
TXN0000045,2023-01-01 10:15:09,123.94,Success,Electronics,Desktop,West,Credit Card,USR06261
TXN0000046,2023-01-01 10:19:20,3943.57,Success,Food & Dining,Mobile,East,UPI,USR08430
TXN0000047,2023-01-01 10:21:56,7487.65,Success,Retail,Mobile,West,Net Banking,USR04379
TXN0000048,2023-01-01 10:32:46,1608.1,Success,Food & Dining,Mobile,Central,Debit Card,USR09063
TXN0000049,2023-01-01 10:46:18,3826.48,Success,Travel,Desktop,South,Wallet,USR06685
TXN0000050,2023-01-01 10:48:31,1951.35,Failed,Electronics,Desktop,East,UPI,USR05232
TXN0000051,2023-01-01 10:53:26,564.17,Success,Retail,Mobile,South,Debit Card,USR01860
TXN0000052,2023-01-01 11:12:59,1538.66,Success,Food & Dining,Mobile,North,Credit Card,USR08206
TXN0000053,2023-01-01 11:14:15,1749.75,Success,Food & Dining,Desktop,South,Debit Card,USR04003
TXN0000054,2023-01-01 11:19:30,1518.7,Success,Electronics,Mobile,North,Debit Card,USR07982
TXN0000055,2023-01-01 11:36:20,2823.33,Success,Travel,Tablet,North,UPI,USR06538
TXN0000056,2023-01-01 11:40:12,2119.77,Success,Food & Dining,Mobile,West,UPI,USR07918
TXN0000057,2023-01-01 11:42:43,1432.25,Success,Travel,Desktop,West,Credit Card,USR03203
TXN0000058,2023-01-01 11:43:19,837.51,Success,Electronics,Mobile,North,Debit Card,USR02263
TXN0000059,2023-01-01 11:43:30,3293.28,Success,Travel,Mobile,Central,Debit Card,USR09244
TXN0000060,2023-01-01 12:04:27,3029.9,Success,Retail,Desktop,East,UPI,USR03144
TXN0000061,2023-01-01 12:21:11,2235.82,Success,Food & Dining,Mobile,West,Debit Card,USR06212
TXN0000062,2023-01-01 12:32:54,668.21,Success,Retail,Mobile,North,Debit Card,USR05457
TXN0000063,2023-01-01 12:33:20,465.26,Failed,Retail,Mobile,West,UPI,USR08818
TXN0000064,2023-01-01 12:36:28,4067.85,Success,Healthcare,Mobile,West,UPI,USR09617
TXN0000065,2023-01-01 12:46:25,620.03,Success,Electronics,Mobile,Central,Credit Card,USR09349
TXN0000066,2023-01-01 12:47:51,1205.84,Success,Retail,Desktop,North,UPI,USR08504
TXN0000067,2023-01-01 12:57:19,279.59,Success,Healthcare,Mobile,Central,Net Banking,USR01935
TXN0000068,2023-01-01 13:03:59,3076.95,Success,Utilities,Mobile,North,UPI,USR03450
TXN0000069,2023-01-01 13:28:49,408.47,Success,Travel,Mobile,West,UPI,USR02583
TXN0000070,2023-01-01 13:35:18,383.91,Success,Food & Dining,Mobile,Central,UPI,USR07815
TXN0000071,2023-01-01 13:42:05,551.65,Failed,Electronics,Desktop,Central,Net Banking,USR09299
TXN0000072,2023-01-01 13:45:36,3025.5,Success,Utilities,Desktop,South,Net Banking,USR07493
TXN0000073,2023-01-01 13:49:55,1394.93,Success,Entertainment,Desktop,Central,UPI,USR00836
TXN0000074,2023-01-01 13:52:04,845.14,Success,Retail,Mobile,Central,Credit Card,USR01205
TXN0000075,2023-01-01 13:56:55,13136.74,Success,Food & Dining,Mobile,East,Wallet,USR01030
TXN0000076,2023-01-01 14:05:50,3383.35,Success,Utilities,Mobile,West,UPI,USR05211
TXN0000077,2023-01-01 14:16:29,165.69,Success,Travel,Desktop,North,Net Banking,USR09978
TXN0000078,2023-01-01 14:20:17,633.94,Success,Utilities,Mobile,East,Credit Card,USR05374
TXN0000079,2023-01-01 14:24:05,168.42,Success,Food & Dining,Mobile,North,Credit Card,USR01436
TXN0000080,2023-01-01 14:33:46,1018.81,Success,Travel,Mobile,Central,UPI,USR03352
TXN0000081,2023-01-01 14:34:18,6270.52,Success,Utilities,Desktop,South,Credit Card,USR06114
TXN0000082,2023-01-01 14:35:18,2437.05,Success,Electronics,Mobile,South,UPI,USR09876
TXN0000083,2023-01-01 14:40:09,1366.01,Success,Retail,Tablet,North,Debit Card,USR09266
TXN0000084,2023-01-01 14:42:29,1026.39,Success,Food & Dining,Desktop,East,Credit Card,USR03292
TXN0000085,2023-01-01 14:46:58,2654.45,Success,Retail,Mobile,South,UPI,USR07277
TXN0000086,2023-01-01 14:51:01,236.74,Success,Utilities,Desktop,East,Credit Card,USR08477
TXN0000087,2023-01-01 14:58:43,1564.8,Success,Electronics,Desktop,South,Wallet,USR02714
TXN0000088,2023-01-01 15:11:44,2213.5,Success,Electronics,Mobile,Central,Credit Card,USR08327
TXN0000089,2023-01-01 15:18:43,392.0,Success,Electronics,Desktop,West,UPI,USR09361
TXN0000090,2023-01-01 15:22:33,623.12,Success,Food & Dining,Mobile,Central,Credit Card,USR02570
TXN0000091,2023-01-01 15:34:42,19163.48,Success,Retail,Mobile,East,UPI,USR08393
TXN0000092,2023-01-01 15:34:43,3405.82,Success,Entertainment,Mobile,South,Wallet,USR08792
TXN0000093,2023-01-01 15:41:29,233.77,Failed,Food & Dining,Mobile,North,UPI,USR09774
TXN0000094,2023-01-01 16:05:29,734.84,Failed,Entertainment,Desktop,South,Debit Card,USR08259
TXN0000095,2023-01-01 16:07:12,1746.16,Success,Food & Dining,Desktop,South,Wallet,USR03690
TXN0000096,2023-01-01 16:14:28,28852.36,Success,Travel,Mobile,North,UPI,USR00175
TXN0000097,2023-01-01 16:38:40,5260.63,Success,Food & Dining,Mobile,East,Wallet,USR09750
TXN0000098,2023-01-01 16:43:10,6687.28,Success,Travel,Mobile,South,Credit Card,USR07899
TXN0000099,2023-01-01 16:44:05,2914.56,Success,Travel,Mobile,North,UPI,USR04926
TXN0000100,2023-01-01 16:47:55,554.78,Success,Electronics,Desktop,East,UPI,USR01335
TXN0000101,2023-01-01 16:58:10,12258.85,Success,Retail,Mobile,North,Credit Card,USR06633
TXN0000102,2023-01-01 16:59:02,5040.68,Failed,Travel,Mobile,Central,UPI,USR00118
TXN0000103,2023-01-01 17:03:16,8353.69,Success,Entertainment,Mobile,South,UPI,USR08895
TXN0000104,2023-01-01 17:08:14,13920.72,Success,Entertainment,Mobile,South,UPI,USR06060
TXN0000105,2023-01-01 17:20:27,11694.07,Success,Electronics,Mobile,Central,UPI,USR02143
TXN0000106,2023-01-01 17:28:13,1773.25,Success,Retail,Desktop,East,Credit Card,USR00641
TXN0000107,2023-01-01 17:35:54,2509.55,Success,Retail,Mobile,East,UPI,USR03623
TXN0000108,2023-01-01 17:37:37,2278.92,Success,Healthcare,Tablet,South,Debit Card,USR08733
TXN0000109,2023-01-01 17:50:49,5509.54,Success,Electronics,Desktop,South,Net Banking,USR08071
TXN0000110,2023-01-01 17:58:27,2692.92,Failed,Food & Dining,Desktop,East,UPI,USR01267
TXN0000111,2023-01-01 18:16:21,2151.98,Failed,Food & Dining,Mobile,South,UPI,USR04119
TXN0000112,2023-01-01 18:25:54,1592.82,Success,Utilities,Desktop,Central,UPI,USR03065
TXN0000113,2023-01-01 18:27:40,1512.74,Success,Electronics,Mobile,Central,Credit Card,USR07645
TXN0000114,2023-01-01 18:46:01,2594.65,Success,Travel,Mobile,West,UPI,USR01047
TXN0000115,2023-01-01 19:20:04,8588.39,Success,Utilities,Mobile,West,Net Banking,USR09442
TXN0000116,2023-01-01 19:25:52,576.85,Success,Retail,Mobile,South,Wallet,USR07213
TXN0000117,2023-01-01 19:45:57,1973.01,Success,Electronics,Desktop,North,UPI,USR01902
TXN0000118,2023-01-01 20:05:39,2736.11,Success,Healthcare,Mobile,East,UPI,USR05019
TXN0000119,2023-01-01 20:19:30,13192.67,Success,Travel,Mobile,Central,Credit Card,USR09004
TXN0000120,2023-01-01 20:24:07,1076.35,Success,Utilities,Mobile,North,Debit Card,USR05493
TXN0000121,2023-01-01 20:24:44,709.3,Failed,Electronics,Desktop,Central,Credit Card,USR00023
TXN0000122,2023-01-01 20:26:38,11066.94,Success,Food & Dining,Desktop,East,Credit Card,USR05086
TXN0000123,2023-01-01 20:42:22,3332.71,Success,Retail,Mobile,West,UPI,USR06703
TXN0000124,2023-01-01 20:43:24,1088.78,Success,Utilities,Mobile,East,UPI,USR04699
TXN0000125,2023-01-01 21:00:57,6416.98,Success,Utilities,Mobile,South,UPI,USR09135
TXN0000126,2023-01-01 21:03:42,190.2,Failed,Food & Dining,Mobile,South,UPI,USR03366
TXN0000127,2023-01-01 21:09:21,1695.57,Success,Healthcare,Desktop,North,Debit Card,USR04795
TXN0000128,2023-01-01 21:10:02,2573.35,Success,Electronics,Mobile,North,Credit Card,USR00982
TXN0000129,2023-01-01 21:14:33,3669.09,Success,Electronics,Mobile,Central,Net Banking,USR03642
TXN0000130,2023-01-01 21:33:10,670.99,Success,Retail,Desktop,Central,Debit Card,USR04067
TXN0000131,2023-01-01 21:41:31,657.52,Failed,Retail,Mobile,West,Credit Card,USR04286
TXN0000132,2023-01-01 21:54:10,11481.07,Success,Travel,Desktop,South,Credit Card,USR09895
TXN0000133,2023-01-01 22:00:21,1843.41,Success,Utilities,Mobile,Central,Credit Card,USR02554
TXN0000134,2023-01-01 22:04:48,2189.09,Success,Utilities,Desktop,North,Net Banking,USR04862
TXN0000135,2023-01-01 22:15:53,754.31,Success,Food & Dining,Mobile,West,UPI,USR09797
TXN0000136,2023-01-01 22:33:23,601.41,Failed,Retail,Mobile,West,Credit Card,USR06263
TXN0000137,2023-01-01 22:51:06,915.06,Success,Utilities,Mobile,South,UPI,USR00871
TXN0000138,2023-01-01 22:57:48,7590.38,Success,Utilities,Desktop,East,Wallet,USR08931
TXN0000139,2023-01-01 23:22:51,856.97,Success,Food & Dining,Mobile,East,UPI,USR03703
TXN0000140,2023-01-01 23:27:42,1361.31,Success,Electronics,Mobile,West,Credit Card,USR08275
TXN0000141,2023-01-01 23:32:21,12520.12,Success,Retail,Mobile,North,UPI,USR09779
TXN0000142,2023-01-01 23:39:12,23480.2,Success,Food & Dining,Mobile,North,Debit Card,USR02538
TXN0000143,2023-01-01 23:51:07,311.07,Success,Entertainment,Mobile,East,Credit Card,USR05993
TXN0000144,2023-01-01 23:57:48,141.07,Success,Food & Dining,Desktop,South,UPI,USR08237
TXN0000145,2023-01-02 00:04:36,768.88,Success,Retail,Mobile,West,UPI,USR03542
TXN0000146,2023-01-02 00:14:01,559.13,Failed,Electronics,Mobile,North,UPI,USR07494
TXN0000147,2023-01-02 00:24:07,3205.22,Success,Retail,Tablet,North,Debit Card,USR09240
TXN0000148,2023-01-02 00:29:55,1778.82,Failed,Travel,Mobile,North,Debit Card,USR02699
TXN0000149,2023-01-02 00:33:59,1548.24,Success,Food & Dining,Desktop,South,UPI,USR03281
TXN0000150,2023-01-02 00:46:56,5181.23,Success,Electronics,Mobile,North,UPI,USR09560
TXN0000151,2023-01-02 02:05:39,140.69,Success,Electronics,Mobile,South,Credit Card,USR00906
TXN0000152,2023-01-02 02:48:48,861.17,Success,Travel,Mobile,South,UPI,USR00355
TXN0000153,2023-01-02 02:54:42,1572.19,Success,Retail,Tablet,South,Credit Card,USR06911
TXN0000154,2023-01-02 04:10:41,6238.72,Success,Utilities,Mobile,North,Debit Card,USR01744
TXN0000155,2023-01-02 04:28:25,1685.21,Success,Utilities,Desktop,East,Wallet,USR09329
TXN0000156,2023-01-02 04:37:21,2961.51,Success,Utilities,Tablet,South,Credit Card,USR05042
TXN0000157,2023-01-02 04:42:55,1223.32,Success,Retail,Mobile,East,Debit Card,USR03916
TXN0000158,2023-01-02 04:48:18,1716.91,Success,Food & Dining,Mobile,South,Debit Card,USR08543
TXN0000159,2023-01-02 04:49:05,1272.03,Success,Food & Dining,Mobile,West,Credit Card,USR09214
TXN0000160,2023-01-02 04:59:19,1371.91,Success,Retail,Desktop,East,Credit Card,USR07039
TXN0000161,2023-01-02 05:13:31,1979.58,Success,Electronics,Mobile,Central,Credit Card,USR02793
TXN0000162,2023-01-02 05:19:39,10255.68,Failed,Healthcare,Mobile,West,UPI,USR05594
TXN0000163,2023-01-02 05:32:32,2972.3,Success,Travel,Desktop,West,Credit Card,USR08596
TXN0000164,2023-01-02 05:41:02,1412.86,Success,Food & Dining,Mobile,North,UPI,USR07811
TXN0000165,2023-01-02 05:56:13,3474.92,Success,Retail,Desktop,South,Credit Card,USR04738
TXN0000166,2023-01-02 06:15:23,2249.87,Success,Food & Dining,Tablet,South,Credit Card,USR03044
TXN0000167,2023-01-02 06:44:34,3658.24,Success,Electronics,Mobile,South,Credit Card,USR06581
TXN0000168,2023-01-02 06:45:31,1127.09,Success,Retail,Desktop,North,UPI,USR04438
TXN0000169,2023-01-02 06:52:49,3262.63,Success,Food & Dining,Mobile,Central,Debit Card,USR07298
TXN0000170,2023-01-02 06:55:04,3334.38,Success,Food & Dining,Tablet,North,Net Banking,USR06337
TXN0000171,2023-01-02 07:04:00,329.22,Success,Utilities,Desktop,East,Credit Card,USR06536
TXN0000172,2023-01-02 07:16:41,1138.93,Success,Utilities,Desktop,North,Wallet,USR03774
TXN0000173,2023-01-02 07:37:39,1472.38,Success,Food & Dining,Tablet,North,UPI,USR09777
TXN0000174,2023-01-02 08:00:24,1223.21,Success,Food & Dining,Mobile,West,Debit Card,USR00073
TXN0000175,2023-01-02 08:25:02,526.14,Success,Utilities,Desktop,East,UPI,USR08007
TXN0000176,2023-01-02 08:28:52,93.13,Success,Retail,Mobile,East,Net Banking,USR01304
TXN0000177,2023-01-02 08:30:22,6209.2,Success,Healthcare,Mobile,Central,Credit Card,USR04426
TXN0000178,2023-01-02 08:46:40,134.35,Success,Healthcare,Desktop,South,Debit Card,USR09812
TXN0000179,2023-01-02 09:09:31,19424.57,Success,Entertainment,Desktop,East,Debit Card,USR02652
TXN0000180,2023-01-02 09:12:53,1361.46,Success,Travel,Desktop,East,UPI,USR04770
TXN0000181,2023-01-02 09:20:24,811.74,Success,Food & Dining,Mobile,North,UPI,USR04711
TXN0000182,2023-01-02 09:29:40,281.43,Success,Travel,Mobile,South,Credit Card,USR01685
TXN0000183,2023-01-02 09:30:49,246.69,Success,Food & Dining,Tablet,South,UPI,USR03121
TXN0000184,2023-01-02 09:37:34,620.15,Success,Healthcare,Mobile,Central,Credit Card,USR05287
TXN0000185,2023-01-02 09:42:37,2272.96,Success,Utilities,Mobile,West,Debit Card,USR01572
TXN0000186,2023-01-02 09:43:42,9844.69,Success,Electronics,Desktop,Central,Debit Card,USR06618
TXN0000187,2023-01-02 09:52:56,281.74,Success,Retail,Mobile,Central,Credit Card,USR00805
TXN0000188,2023-01-02 09:59:40,2781.83,Success,Retail,Desktop,North,Debit Card,USR07887
TXN0000189,2023-01-02 10:03:24,196.17,Success,Entertainment,Mobile,West,UPI,USR01720
TXN0000190,2023-01-02 10:06:21,609.68,Success,Food & Dining,Mobile,West,Net Banking,USR04460
TXN0000191,2023-01-02 10:11:46,3304.1,Success,Retail,Tablet,North,Credit Card,USR01610
TXN0000192,2023-01-02 10:14:08,533.56,Success,Electronics,Tablet,West,Credit Card,USR02089
TXN0000193,2023-01-02 10:14:25,11525.33,Success,Food & Dining,Mobile,East,Debit Card,USR03927
TXN0000194,2023-01-02 10:29:10,4472.79,Success,Utilities,Mobile,Central,UPI,USR03617
TXN0000195,2023-01-02 10:39:12,3277.16,Success,Food & Dining,Mobile,North,Wallet,USR04323
TXN0000196,2023-01-02 10:43:36,925.57,Failed,Food & Dining,Mobile,North,UPI,USR02923
