date,total,failed,daily_fail_rate,rolling_7d_rate
2023-01-01,144,18,0.125,0.125
2023-01-02,132,15,0.11363636363636363,0.11931818181818182
2023-01-03,151,18,0.11920529801324503,0.1192805538832029
2023-01-04,166,29,0.1746987951807229,0.1331351142075829
2023-01-05,134,11,0.08208955223880597,0.12292600181382751
2023-01-06,143,17,0.11888111888111888,0.12225185465837607
2023-01-07,132,25,0.1893939393939394,0.13184358104917085
2023-01-08,146,24,0.1643835616438356,0.13746980414114734
2023-01-09,161,31,0.19254658385093168,0.1487426927432285
2023-01-10,162,26,0.16049382716049382,0.15464105404997833
2023-01-11,126,26,0.20634920634920634,0.15916254135976168
2023-01-12,126,14,0.1111111111111111,0.16330847834151954
2023-01-13,136,17,0.125,0.1641826042156454
2023-01-14,141,23,0.16312056737588654,0.16042926535592358
2023-01-15,130,21,0.16153846153846155,0.16002282248372726
2023-01-16,134,15,0.11194029850746269,0.14850763886323173
2023-01-17,133,24,0.18045112781954886,0.1513586818145253
2023-01-18,122,23,0.1885245901639344,0.14881230807377216
2023-01-19,134,21,0.15671641791044777,0.15532735190224883
2023-01-20,129,21,0.16279069767441862,0.16072602299859434
2023-01-21,122,18,0.14754098360655737,0.15850036817440444
2023-01-22,140,17,0.12142857142857143,0.1527703838729916
2023-01-23,135,21,0.15555555555555556,0.15900113487986203
2023-01-24,146,19,0.13013698630136986,0.151813400377265
2023-01-25,122,22,0.18032786885245902,0.15064244018991138
2023-01-26,125,19,0.152,0.14996866620270458
2023-01-27,156,26,0.16666666666666666,0.15052237605873997
2023-01-28,109,16,0.14678899082568808,0.15041494851861578
2023-01-29,127,29,0.2283464566929134,0.1656889321278075
2023-01-30,156,24,0.15384615384615385,0.16544473188360725
2023-01-31,149,19,0.12751677852348994,0.1650704164867673
2023-02-01,144,24,0.16666666666666666,0.16311881617451124
2023-02-02,152,18,0.11842105263157894,0.15832182369330822
2023-02-03,144,16,0.1111111111111111,0.15038531575680028
2023-02-04,153,22,0.1437908496732026,0.14995700987787378
2023-02-05,132,21,0.1590909090909091,0.1400633602204446
2023-02-06,136,19,0.13970588235294118,0.13804332143569994
2023-02-07,123,23,0.18699186991869918,0.14653976306358696
2023-02-08,143,25,0.17482517482517482,0.14770526422908814
2023-02-09,115,14,0.12173913043478261,0.14817927534383152
2023-02-10,132,23,0.17424242424242425,0.15719803436259053
2023-02-11,140,21,0.15,0.1580850558378473
2023-02-12,127,14,0.11023622047244094,0.15110581460663758
2023-02-13,141,21,0.14893617021276595,0.15242442715804108
2023-02-14,139,20,0.14388489208633093,0.14626628746770276
2023-02-15,130,17,0.13076923076923078,0.1399725811739965
2023-02-16,134,23,0.17164179104477612,0.14710153268970985
2023-02-17,115,20,0.17391304347826086,0.14705447829482934
2023-02-18,170,27,0.1588235294117647,0.14831498249651004
2023-02-19,129,22,0.17054263565891473,0.1569301846660063
2023-02-20,132,24,0.18181818181818182,0.16162761489535143
2023-02-21,133,14,0.10526315789473684,0.15611022429655225
2023-02-22,137,23,0.1678832116788321,0.16141222156935248
2023-02-23,133,26,0.19548872180451127,0.16481892596360034
2023-02-24,136,20,0.14705882352941177,0.16098260882805043
2023-02-25,140,19,0.1357142857142857,0.15768128829983916
2023-02-26,141,23,0.16312056737588654,0.15662099283083514
2023-02-27,138,17,0.12318840579710146,0.14824531054210938
2023-02-28,138,27,0.1956521739130435,0.1611580271161532
2023-03-01,106,16,0.1509433962264151,0.1587380534800936
2023-03-02,117,17,0.1452991452991453,0.15156811397932704
2023-03-03,131,17,0.1297709923664122,0.14909842381318425
2023-03-04,131,18,0.13740458015267176,0.1493398944472394
2023-03-05,142,24,0.16901408450704225,0.15018182546597594
2023-03-06,129,28,0.21705426356589147,0.16359123371866024
2023-03-07,136,27,0.19852941176470587,0.16400226769746915
2023-03-08,131,12,0.0916030534351145,0.15552507587014047
2023-03-09,145,19,0.1310344827586207,0.15348726693577983
2023-03-10,136,22,0.16176470588235295,0.15805779743805706
2023-03-11,130,20,0.15384615384615385,0.16040659367998306
2023-03-12,123,15,0.12195121951219512,0.15368332725214778
2023-03-13,137,20,0.145985401459854,0.143530632665571
2023-03-14,140,22,0.15714285714285714,0.1376182677195926
2023-03-15,137,27,0.19708029197080293,0.15268644465326237
2023-03-16,124,22,0.1774193548387097,0.15931285495041794
2023-03-17,142,27,0.19014084507042253,0.16336658912014218
2023-03-18,150,21,0.14,0.16138856714212022
2023-03-19,126,18,0.14285714285714285,0.1643751276199699
2023-03-20,136,24,0.17647058823529413,0.1687301543021756
2023-03-21,129,23,0.17829457364341086,0.171751828087969
2023-03-22,167,22,0.1317365269461078,0.16241700451301258
2023-03-23,144,22,0.1527777777777778,0.15889677921859371
2023-03-24,158,24,0.1518987341772152,0.1534336205195641
2023-03-25,129,22,0.17054263565891473,0.15779685418512335
2023-03-26,140,24,0.17142857142857143,0.16187848683818457
2023-03-27,138,25,0.18115942028985507,0.1625483199888361
2023-03-28,123,17,0.13821138211382114,0.1568221497703233
2023-03-29,145,22,0.15172413793103448,0.15967752276817
2023-03-30,134,16,0.11940298507462686,0.1549096952391484
2023-03-31,147,25,0.17006802721088435,0.15750530852967257
2023-04-01,146,24,0.1643835616438356,0.15662544081323268
2023-04-02,128,28,0.21875,0.16338564489486537
2023-04-03,149,31,0.2080536912751678,0.1672276836070529
2023-04-04,138,23,0.16666666666666666,0.1712927242574594
2023-04-05,115,15,0.13043478260869565,0.16825138778283955
2023-04-06,139,26,0.18705035971223022,0.1779152984453543
2023-04-07,126,21,0.16666666666666666,0.17742938979618036
2023-04-08,140,25,0.17857142857142858,0.17945622792869367
2023-04-09,141,18,0.1276595744680851,0.16644330999556295
2023-04-10,127,23,0.18110236220472442,0.16259312012835675
2023-04-11,140,16,0.11428571428571428,0.1551101269310778
2023-04-12,151,29,0.19205298013245034,0.16391272657732853
2023-04-13,141,24,0.1702127659574468,0.16150735604093086
2023-04-14,146,22,0.1506849315068493,0.15922425101809984
2023-04-15,149,25,0.16778523489932887,0.15768336620779988
2023-04-16,144,25,0.1736111111111111,0.16424787144251787
2023-04-17,139,26,0.18705035971223022,0.16509758537216154
2023-04-18,147,23,0.1564625850340136,0.1711228526219186
2023-04-19,151,20,0.13245033112582782,0.16260818847811542
2023-04-20,132,22,0.16666666666666666,0.1621016028651468
2023-04-21,134,23,0.17164179104477612,0.1650954399419935
2023-04-22,125,15,0.12,0.15826897781351792
2023-04-23,149,29,0.19463087248322147,0.16127180086667656
2023-04-24,137,18,0.13138686131386862,0.15331987252405346
2023-04-25,140,30,0.21428571428571427,0.1615803195600107
2023-04-26,128,27,0.2109375,0.172792772256321
2023-04-27,143,31,0.21678321678321677,0.17995227941582817
2023-04-28,143,18,0.1258741258741259,0.1734140415343067
2023-04-29,131,25,0.19083969465648856,0.1835339979138051
2023-04-30,128,22,0.171875,0.1802831589876306
2023-05-01,149,16,0.10738255033557047,0.17685397170501657
2023-05-02,136,19,0.13970588235294118,0.1661997100003347
2023-05-03,140,26,0.18571428571428572,0.1625963936738041
2023-05-04,161,25,0.15527950310559005,0.15381014886271455
2023-05-05,133,15,0.11278195488721804,0.1519398387217277
2023-05-06,135,21,0.15555555555555556,0.14689924742159444
2023-05-07,133,21,0.15789473684210525,0.14490206697046662
2023-05-08,117,17,0.1452991452991453,0.15031872339383442
2023-05-09,137,14,0.10218978102189781,0.14495928034654254
2023-05-10,150,29,0.19333333333333333,0.14604771572069217
2023-05-11,122,25,0.20491803278688525,0.1531389342465915
2023-05-12,136,25,0.18382352941176472,0.16328773060724103
2023-05-13,132,29,0.2196969696969697,0.1724507897703002
2023-05-14,133,15,0.11278195488721804,0.16600610663388773
2023-05-15,143,25,0.17482517482517482,0.17022411085189196
2023-05-16,116,16,0.13793103448275862,0.1753300042034435
2023-05-17,125,22,0.176,0.17285381372725303
2023-05-18,122,24,0.19672131147540983,0.17168285353989937
2023-05-19,146,25,0.17123287671232876,0.1698841888685514
2023-05-20,139,20,0.14388489208633093,0.15905389206703155
2023-05-21,142,22,0.15492957746478872,0.16507498100668452
2023-05-22,133,24,0.18045112781954886,0.1658786885773094
2023-05-23,155,19,0.12258064516129032,0.16368577581709962
2023-05-24,140,17,0.12142857142857143,0.1558898574497527
2023-05-25,154,37,0.24025974025974026,0.16210963299037132
2023-05-26,145,23,0.15862068965517243,0.16030789198220613
2023-05-27,147,13,0.08843537414965986,0.15238653227696744
2023-05-28,132,16,0.12121212121212122,0.14756975281230061
2023-05-29,123,21,0.17073170731707318,0.1461812641690898
2023-05-30,141,21,0.14893617021276595,0.14994633917644348
2023-05-31,157,18,0.11464968152866242,0.14897792633359933
2023-06-01,146,20,0.136986301369863,0.13422457792075973
2023-06-02,153,27,0.17647058823529413,0.13677456343220568
2023-06-03,146,33,0.22602739726027396,0.156430566733722
2023-06-04,127,19,0.14960629921259844,0.1604868778766473
2023-06-05,144,28,0.19444444444444445,0.16387441175198605
2023-06-06,132,24,0.18181818181818182,0.16857184198133116
2023-06-07,156,27,0.17307692307692307,0.17691859077393984
2023-06-08,119,14,0.11764705882352941,0.1741558418387493
2023-06-09,145,26,0.1793103448275862,0.17456152135193387
2023-06-10,148,26,0.17567567567567569,0.16736841826841986
2023-06-11,142,17,0.11971830985915492,0.16309870550364222
2023-06-12,123,14,0.11382113821138211,0.15158109032749048
2023-06-13,143,14,0.0979020979020979,0.13959307833947848
2023-06-14,117,12,0.10256410256410256,0.1295198182662184
2023-06-15,140,26,0.18571428571428572,0.13924370782204074
2023-06-16,121,15,0.12396694214876033,0.13133750743935133
2023-06-17,119,13,0.1092436974789916,0.12184722483982502
2023-06-18,156,26,0.16666666666666666,0.12855413295518384
2023-06-19,134,13,0.09701492537313433,0.12615324540686274
2023-06-20,133,23,0.17293233082706766,0.13687185011042982
2023-06-21,142,20,0.14084507042253522,0.14234055980449165
2023-06-22,125,21,0.168,0.1398099475595937
2023-06-23,123,24,0.1951219512195122,0.14997494885541537
2023-06-24,159,29,0.18238993710691823,0.1604244116594049
2023-06-25,108,15,0.1388888888888889,0.15645615769115093
2023-06-26,112,15,0.13392857142857142,0.1617295356990705
2023-06-27,145,27,0.18620689655172415,0.16362590223116433
2023-06-28,135,23,0.17037037037037037,0.16784380222371217
2023-06-29,134,24,0.1791044776119403,0.1694301561682751
2023-06-30,138,26,0.18840579710144928,0.16847070557998037
2023-07-01,146,25,0.17123287671232876,0.16687683980932475
2023-07-02,118,21,0.17796610169491525,0.17245929878161423
2023-07-03,142,25,0.176056338028169,0.1784775511529853
2023-07-04,153,24,0.1568627450980392,0.17428552951674456
