transaction_id,timestamp,amount,status,category,device_type,region,payment_method,user_id,hour,day_of_week,day_name,month,month_name,year,date,is_weekend,is_night,log_amount,amount_bucket,is_failed,transactions_per_user,user_failure_rate,user_type
TXN0000001,2023-01-01 00:22:04,734.73,Success,Utilities,Mobile,East,UPI,USR09524,0,6,Sunday,1,Jan,2023,2023-01-01,1,1,6.600863203597664,Low (<1K),0,10,0.1,New
TXN0000002,2023-01-01 00:25:28,58857.69,Success,Healthcare,Tablet,West,Net Banking,USR05508,0,6,Sunday,1,Jan,2023,2023-01-01,1,1,10.982894765338635,Very High (>50K),0,10,0.3,New
TXN0000003,2023-01-01 00:49:40,5897.23,Failed,Retail,Desktop,Central,Credit Card,USR06586,0,6,Sunday,1,Jan,2023,2023-01-01,1,1,8.682407584884809,Medium (1K-10K),1,16,0.25,Returning
TXN0000004,2023-01-01 01:27:12,760.69,Success,Healthcare,Mobile,North,UPI,USR05869,1,6,Sunday,1,Jan,2023,2023-01-01,1,1,6.63553964876427,Low (<1K),0,10,0.2,New
TXN0000005,2023-01-01 02:07:58,4378.75,Success,Electronics,Mobile,South,UPI,USR02361,2,6,Sunday,1,Jan,2023,2023-01-01,1,1,8.384746924115932,Medium (1K-10K),0,15,0.3333333333333333,Returning
TXN0000006,2023-01-01 02:29:31,263.45,Failed,Electronics,Mobile,West,Credit Card,USR01257,2,6,Sunday,1,Jan,2023,2023-01-01,1,1,5.577652197511989,Low (<1K),1,7,0.5714285714285714,New
TXN0000007,2023-01-01 03:04:21,1232.8,Success,Retail,Mobile,East,UPI,USR02400,3,6,Sunday,1,Jan,2023,2023-01-01,1,1,7.117854116775538,Medium (1K-10K),0,7,0.14285714285714285,New
TXN0000008,2023-01-01 03:15:38,661.5,Success,Utilities,Mobile,West,Debit Card,USR02487,3,6,Sunday,1,Jan,2023,2023-01-01,1,1,6.496020557860377,Low (<1K),0,10,0.0,New
TXN0000009,2023-01-01 03:42:28,2987.51,Success,Retail,Tablet,West,Credit Card,USR01666,3,6,Sunday,1,Jan,2023,2023-01-01,1,1,8.002530214418991,Medium (1K-10K),0,9,0.0,New
TXN0000010,2023-01-01 05:04:16,13201.16,Success,Food & Dining,Desktop,West,UPI,USR05981,5,6,Sunday,1,Jan,2023,2023-01-01,1,1,9.488135731551129,High (10K-50K),0,13,0.0,New
TXN0000011,2023-01-01 05:15:33,236.79,Success,Travel,Desktop,West,Credit Card,USR07586,5,6,Sunday,1,Jan,2023,2023-01-01,1,1,5.471387931227806,Low (<1K),0,11,0.09090909090909091,New
TXN0000012,2023-01-01 05:56:21,16790.04,Failed,Electronics,Mobile,West,Debit Card,USR09303,5,6,Sunday,1,Jan,2023,2023-01-01,1,1,9.728600689785207,High (10K-50K),1,12,0.25,New
