metric,value
total_transactions,100000
total_failed,15657
overall_failure_rate_pct,15.66
total_revenue_processed_inr,368897800.15
total_revenue_lost_inr,58985484.38
revenue_loss_pct,15.99
avg_failed_txn_value_inr,3767.36
highest_failure_category,Electronics
highest_fail_cat_rate_pct,27.53
highest_failure_region,East
highest_fail_reg_rate_pct,19.09
highest_failure_device,Mobile
highest_fail_dev_rate_pct,18.43
peak_failure_hour,1
peak_hour_failure_rate_pct,24.8
night_failure_rate_pct,23.8
day_failure_rate_pct,14.86
chi2_device_pvalue,0.0
chi2_category_pvalue,0.0
mannwhitney_amount_pvalue,0.647213
